exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
28,47,Beginner,Beginner,r1,r1,c2,c2,0.9871671388277579,0.8987152866668618,0.9841707656031433,0.9554791988558808,0.7022058823529411
28,48,Beginner,Beginner,r1,r1,c2,c2,0.989544189626074,0.8677031027014765,0.9871580671664256,0.9204792216987192,0.7727272727272728
28,50,Beginner,Beginner,r1,r1,c2,c2,0.9865978518446447,0.8657760517921264,0.9864741092626502,0.9615019146190074,0.7172774869109948
28,52,Beginner,Beginner,r1,r1,c2,c2,0.9848410945133292,0.8839059644025444,0.9817521950992708,0.9157968097568002,0.7091244239631337
29,30,Beginner,Beginner,r1,r1,c3,c3,0.9778013603963766,0.6778623397217889,0.9775900637422978,0.8990479619296986,0.7290322580645161
29,39,Beginner,Beginner,r1,r1,c3,c3,0.9796549538410698,0.8737551007718377,0.9779735404346949,0.8904867455176206,0.6584158415841583
29,46,Beginner,Beginner,r1,r1,c3,c3,0.9832364231226579,0.8001281867696547,0.9789908362969317,0.9119334536922507,0.7333333333333334
29,9,Beginner,Beginner,r1,r1,c3,c3,0.9803669621374321,0.8002237350540847,0.9774119283728298,0.8979695116637606,0.6958947787963332
30,39,Beginner,Beginner,r1,r1,c3,c3,0.9829894699961277,0.7336185031286503,0.978000590828821,0.8654689605115217,0.6949685534591195
30,46,Beginner,Beginner,r1,r1,c3,c3,0.9864552569264443,0.7633470618268272,0.9810287163873782,0.9092376619222521,0.718666314014613
30,9,Beginner,Beginner,r1,r1,c3,c3,0.9845848980737866,0.7514232624533167,0.9808004498263729,0.8649613508736993,0.7109634551495017
33,36,Beginner,Beginner,r1,r1,c1,c1,0.9874684809546543,0.72171041317055,0.9819567916924307,0.9038788595175371,0.7446808510638299
33,40,Beginner,Beginner,r1,r1,c1,c1,0.9892850044525104,0.9067622582102443,0.9887178313862722,0.9601303266130923,0.7309644670050761
36,40,Beginner,Beginner,r1,r1,c1,c1,0.9878553244197208,0.5891692841442697,0.9837943549420054,0.7708615964889637,0.7718494271685762
37,38,Beginner,Beginner,r1,r1,c2,c2,0.987503765763822,0.7344469192302561,0.985439235057834,0.8292426416005383,0.6964980544747081
37,41,Beginner,Beginner,r1,r1,c2,c2,0.9868180958227784,0.7887957648964357,0.9847658430857392,0.9195783711780958,0.6770428015564202
37,43,Beginner,Beginner,r1,r1,c2,c2,0.989190195055135,0.8543944624080603,0.986945226218508,0.893779703826832,0.7498725687458083
37,47,Beginner,Beginner,r1,r1,c2,c2,0.9873745375888239,0.8824881086884794,0.9838736977893211,0.8736235328045916,0.6695652173913043
37,48,Beginner,Beginner,r1,r1,c2,c2,0.9874531838056098,0.8109590613431072,0.986196228540063,0.927469341256458,0.735394407819959
37,50,Beginner,Beginner,r1,r1,c2,c2,0.9870455433180552,0.8766880457544204,0.9847223948415632,0.9293553117941569,0.7087483399734396
37,52,Beginner,Beginner,r1,r1,c2,c2,0.9849145933232282,0.8202518381057482,0.9797027741487361,0.860778675465801,0.7167415730337079
38,41,Beginner,Beginner,r1,r1,c2,c2,0.9864056655806863,0.7432880758526038,0.9784993274106695,0.737095758305875,0.7604620300461258
38,43,Beginner,Beginner,r1,r1,c2,c2,0.9865936215063912,0.7525204393775536,0.9778996571975377,0.9326619047186142,0.7283983140147524
38,47,Beginner,Beginner,r1,r1,c2,c2,0.98621407017653,0.8212700473467843,0.9813723944247155,0.9470913069153258,0.6761598663896063
38,48,Beginner,Beginner,r1,r1,c2,c2,0.9876937194521048,0.7751382706379767,0.9804233763734592,0.9389937940952204,0.7794844087681383
38,50,Beginner,Beginner,r1,r1,c2,c2,0.9883182386645947,0.8694229865502014,0.9857951911806041,0.9484219974427054,0.7187603618966416
38,52,Beginner,Beginner,r1,r1,c2,c2,0.9825800463816313,0.7840947321102187,0.9759968104451708,0.9321620356641918,0.7582629643060663
39,46,Beginner,Beginner,r1,r1,c3,c3,0.9847755801028355,0.8416052051617859,0.9817524060398838,0.8955369880078314,0.6493506493506493
39,9,Beginner,Beginner,r1,r1,c3,c3,0.9852059228272967,0.8523276707908727,0.984498324800801,0.931157741072722,0.6638297872340426
41,43,Beginner,Beginner,r1,r1,c2,c2,0.9868699678102212,0.7996931154810113,0.9842993265037694,0.9380348652360195,0.7127071823204421
41,47,Beginner,Beginner,r1,r1,c2,c2,0.9878981492348224,0.8933905164563126,0.9847647752254867,0.8400335495893276,0.7043795620437956
41,48,Beginner,Beginner,r1,r1,c2,c2,0.9882968179421454,0.884237542499595,0.986401444159226,0.9370090231408662,0.7148088148663847
41,50,Beginner,Beginner,r1,r1,c2,c2,0.9879255775164922,0.8278033016066955,0.9867295368820014,0.8436612610986238,0.732919254658385
41,52,Beginner,Beginner,r1,r1,c2,c2,0.9849556430774774,0.8662445673430714,0.9815099756396088,0.8372543940149672,0.6699507389162562
43,47,Beginner,Beginner,r1,r1,c2,c2,0.9862399336587068,0.844361616529718,0.9871743940753843,0.9306798058013581,0.6994535519125684
43,48,Beginner,Beginner,r1,r1,c2,c2,0.9896183682677591,0.8811476059423567,0.9872944196841869,0.9329825478111005,0.6950843727072635
43,50,Beginner,Beginner,r1,r1,c2,c2,0.9893980262707831,0.847334074608735,0.989144577439058,0.9401754032517257,0.6870063571566173
43,52,Beginner,Beginner,r1,r1,c2,c2,0.984925574131319,0.7961093189335459,0.9839700026272629,0.9289238029780945,0.7128712871287128
46,9,Beginner,Beginner,r1,r1,c3,c3,0.9861619583823527,0.8080499461398651,0.9834439632604207,0.8757178079575889,0.7466751843893373
47,48,Beginner,Beginner,r1,r1,c2,c2,0.9886168911529242,0.9027872186192198,0.9885989671621891,0.9598977716996835,0.7041652041652042
47,50,Beginner,Beginner,r1,r1,c2,c2,0.9883437660267088,0.9028683325541897,0.9863522116165812,0.9631228129419864,0.711621553544787
47,52,Beginner,Beginner,r1,r1,c2,c2,0.9867530473556025,0.8881546153831029,0.9849410447124506,0.9215877397961587,0.6890756302521008
48,50,Beginner,Beginner,r1,r1,c2,c2,0.9894114197275374,0.8748081875777891,0.9868946033159512,0.9419306673863508,0.75
48,52,Beginner,Beginner,r1,r1,c2,c2,0.9867284896236814,0.801338604988717,0.986700943351002,0.8873585640347906,0.744873799419254
50,52,Beginner,Beginner,r1,r1,c2,c2,0.9862238011269173,0.8766781886401365,0.9817445825487751,0.8986541371469735,0.6961538461538461
